eu_rank,company, country,industrial_sector,rnd_eur_million, rnd_1_year_growth_%,sales_eur_million,sales_1_year_growth_%,rnd_intensity_%,capex_eur_million,capex_1_year_growth_%,capex_int_%,profits_losses_eur_million,profits_1_year_growth_%,profitability_%,employees,employees_1_year_growth_%,
194,voestalpine,Austria,Industrial metals & mining,105.3,-3.4,12058.2,10.1,0.9,552.9,34.8,4.6,700.8,-30.0,5.8,43,3.5,
195,Industria de Turbo Propulsores,Spain,Aerospace & defence,103.4,48.0,1145.6,139.1,9.0,,,,90.7,200.0,7.9,0,,
196,PRADA,Italy,Personal goods,103.1,6.1,2523.3,25.1,4.1,248.6,32.5,9.9,628.9,50.3,24.9,8,12.1,
197,Old Mutual,UK,Life insurance,102.8,10.3,3894.2,-83.5,2.6,,,,138.6,-90.3,3.6,57,3.1,
198,Gamesa,Spain,Industrial engineering,102.1,152.9,3026.6,10.6,3.4,141.9,54.5,4.7,252.2,178.8,8.3,8,24.3,
199,Qiagen,The Netherlands,Pharmaceuticals & biotechnology,101.0,3.6,904.0,7.6,11.2,67.1,9.0,7.4,23.6,-84.3,2.6,4,9.8,
200,Schott,Germany,Construction & materials,100.5,2.2,2881.4,1.3,3.5,,,,135.4,-47.6,4.7,17,-1.0,
201,Wincor Nixdorf,Germany,Software & computer services,100.2,-1.2,2328.2,4.0,4.3,43.2,-6.8,1.9,162.4,1.1,7.0,9,-0.5,
202,SMA Solar Technology,Germany,Alternative energy,99.9,40.9,1676.3,-12.7,6.0,134.2,-3.9,8.0,239.0,-53.7,14.3,6,15.5,
203,Meggitt,UK,Aerospace & defence,99.4,23.3,1739.0,25.2,5.7,32.3,90.1,1.9,312.0,18.6,17.9,9,30.2,
204,Betfair,UK,Travel & leisure,99.3,71.8,465.6,-0.9,21.3,17.2,-33.4,3.7,40.6,36.5,8.7,2,11.1,
205,Enel,Italy,Electricity,99.0,11.2,77573.0,7.8,0.1,6957.0,9.1,9.0,11164.0,0.4,14.4,76,-4.6,
206,Deutsche Post,Germany,Industrial transportation,98.0,-4.9,52829.0,2.6,0.2,1716.0,62.2,3.2,2393.0,9.7,4.5,424,-8.8,
207,Eberspaecher,Germany,Automobiles & parts,97.7,0.0,1933.8,44.1,5.1,34.9,3.8,1.8,64.8,-238.9,3.3,6,7.2,
208,DONG Energy,Denmark,Oil & gas producers,97.4,-11.6,7860.5,7.3,1.2,,,,1066.0,15.9,13.6,6,2.9,
209,Webasto,Germany,Automobiles & parts,95.0,-1.7,2305.1,12.6,4.1,,,,150.0,23.4,6.5,1,-87.1,
210,Borealis,Austria,Chemicals,94.0,6.8,6498.4,3.7,1.4,,,,,,,0,-96.6,
211,Smiths,UK,General industrials,93.8,-16.0,3620.7,9.4,2.6,59.9,6.6,1.7,449.0,-11.6,12.4,23,-1.5,
212,Acciona,Spain,Construction & materials,93.6,6.2,6646.0,6.1,1.4,982.1,7.3,14.8,701.5,44.9,10.6,32,0.5,
213,SCA,Sweden,Forestry & paper,93.4,15.9,9126.7,-25.5,1.0,663.3,-6.2,7.3,188.1,-80.3,2.1,44,-3.6,
214,Krka,Slovenia,Pharmaceuticals & biotechnology,92.9,2.2,1075.6,6.5,8.6,100.0,-7.3,9.3,214.0,0.9,19.9,9,7.4,
215,Gedeon Richter,Hungary,Pharmaceuticals & biotechnology,91.0,5.9,976.2,11.8,9.3,84.4,37.4,8.6,179.8,-9.6,18.4,11,5.7,
216,Abengoa,Spain,General industrials,90.6,-2.2,7089.2,27.4,1.3,331.4,-69.5,4.7,201.7,-61.3,2.8,22,-14.9,
217,Spectris,UK,Electronic & electrical equipment,90.6,21.5,1321.8,22.7,6.9,34.9,68.8,2.6,209.9,37.5,15.9,6,11.5,
218,Bekaert,Belgium,Industrial metals & mining,90.1,13.6,3340.0,2.4,2.7,266.6,15.0,8.0,282.6,-50.4,8.5,22,2.5,
219,Cobham,UK,Aerospace & defence,90.0,1.6,2215.8,-2.5,4.1,,,,349.4,25.0,15.8,11,-8.1,
220,Sellafield,UK,General retailers,89.6,-3.8,60.9,2.0,147.1,,,,60.9,2.0,100.0,9,-3.5,
221,Software,Germany,Software & computer services,88.1,-4.2,1098.3,-1.9,8.0,14.4,43.1,1.3,270.1,0.6,24.6,6,-4.5,
222,Altana,Germany,Chemicals,87.7,7.0,1616.7,5.3,5.4,,,,217.0,-4.0,13.4,5,5.4,
223,Fresenius Medical Care,Germany,Health care equipment & services,87.6,-65.4,9888.8,-40.3,0.9,462.1,-40.1,4.7,1603.6,-36.0,16.2,79,-41.0,
224,Gameloft,France,Software & computer services,86.8,11.1,164.4,16.6,52.8,5.2,29.2,3.2,21.1,126.3,12.8,5,19.8,
225,Mundipharma Research,UK,Support services,85.0,9.9,106.4,11.3,79.9,,,,9.6,10.3,9.0,0,2.4,
226,Ahold,The Netherlands,Food & drug retailers,85.0,84.8,30271.0,2.5,0.3,755.0,-13.2,2.5,1488.0,6.8,4.9,218,2.3,
227,GEA,Germany,Industrial engineering,84.3,26.5,5416.5,22.6,1.6,155.2,117.4,2.9,447.8,96.0,8.3,24,16.7,
228,Leoni,Germany,Electronic & electrical equipment,84.1,13.9,3701.5,25.2,2.3,127.4,28.4,3.4,237.1,90.0,6.4,61,16.3,
229,Galapagos,Belgium,Pharmaceuticals & biotechnology,83.9,2.8,115.3,-18.6,72.8,4.4,3.6,3.8,-34.7,-3208.6,-30.1,1,2.5,
230,Red Bull Technology,UK,Household goods & home construction,83.6,18.2,257.2,20.8,32.5,,,,4.9,9.8,1.9,1,1.7,
231,Barco,Belgium,Electronic & electrical equipment,83.3,15.5,1041.2,16.1,8.0,20.3,91.7,1.9,59.0,37.1,5.7,4,7.0,
232,Misys,UK,Software & computer services,82.8,-8.7,563.6,-39.8,14.7,6.0,-49.1,1.1,61.2,-58.8,10.9,0,,
233,Stora Enso,Finland,Forestry & paper,82.8,3.8,10964.9,6.5,0.8,409.6,3.9,3.7,755.0,-25.3,6.9,28,2.1,
234,Ingenico,France,Electronic & electrical equipment,82.7,-7.7,1001.1,10.4,8.3,,,,111.7,60.4,11.2,4,16.3,
235,Kone,Finland,Industrial engineering,82.5,16.4,5225.2,4.8,1.6,92.1,129.1,1.8,725.1,2.3,13.9,38,11.8,
236,Orion Oyj,Finland,Pharmaceuticals & biotechnology,82.1,3.7,917.9,8.0,8.9,25.5,9.4,2.8,281.8,12.8,30.7,3,6.1,
237,Repsol YPF,Spain,Oil & gas producers,82.0,15.5,60122.0,12.0,0.1,5516.0,19.7,9.2,4765.0,3.0,7.9,47,10.0,
238,Sick,Germany,Electronic & electrical equipment,81.0,21.8,902.7,20.5,9.0,,,,83.2,25.0,9.2,5,8.1,
239,Warner Chilcott,Ireland,Pharmaceuticals & biotechnology,80.2,-29.2,2108.4,-8.3,3.8,35.7,-51.3,1.7,494.7,8.2,23.5,2,-18.5,
240,William Demant,Denmark,Health care equipment & services,80.2,5.1,1081.6,16.7,7.4,54.7,69.6,5.1,229.9,19.8,21.3,7,17.0,
241,LFB,France,Pharmaceuticals & biotechnology,79.3,4.4,412.9,9.9,19.2,,,,64.6,-2015.9,15.6,1,-23.5,
242,Elster,Germany,Electronic & electrical equipment,79.1,17.0,1444.5,6.2,5.5,37.3,14.0,2.6,150.3,8.7,10.4,0,,
243,HeidelbergCement,Germany,Construction & materials,78.9,16.7,12901.9,9.7,0.6,853.0,18.0,6.6,1337.5,22.1,10.4,54,-1.4,
244,Salzgitter,Germany,Industrial metals & mining,78.9,0.6,9839.5,18.5,0.8,363.1,-25.6,3.7,250.8,79.9,2.5,23,0.8,
245,Zumtobel,Austria,Electronic & electrical equipment,77.2,36.7,1280.3,4.1,6.0,57.2,38.7,4.5,35.0,-50.2,2.7,7,-2.2,
246,PUMA,Germany,Personal goods,77.0,118.1,3009.0,11.2,2.6,71.1,74.3,2.4,334.3,8.3,11.1,11,16.4,
247,Heraeus,Germany,Industrial metals & mining,76.1,15.0,26182.8,18.9,0.3,,,,471.4,24.1,1.8,13,4.9,
248,Vaillant,Germany,Support services,75.7,8.8,2314.0,4.4,3.3,,,,162.9,19.2,7.0,12,0.4,
249,Prysmian,Italy,Electronic & electrical equipment,75.0,63.0,7583.0,65.9,1.0,135.0,62.7,1.8,97.0,-65.2,1.3,22,74.4,
250,Experian,UK,Support services,75.0,30.6,3467.8,9.7,2.2,64.9,17.7,1.9,813.0,21.3,23.4,16,6.4,
251,Alfa Laval,Sweden,Industrial engineering,71.9,4.2,3215.0,15.9,2.2,62.3,33.1,1.9,526.4,6.8,16.4,15,21.4,
252,Imagination Technologies,UK,Technology hardware & equipment,71.3,33.4,152.4,30.0,46.8,10.6,-28.7,6.9,28.0,44.3,18.4,1,33.4,
253,CGGVeritas,France,"Oil equipment, services & distribution",71.2,24.9,2267.7,3.7,3.1,,,,110.3,72.3,4.9,7,-0.9,
254,Nexans,France,Electronic & electrical equipment,71.0,0.0,6920.0,12.0,1.0,,,,159.0,-11.2,2.3,25,3.7,
255,Grifols,Spain,Pharmaceuticals & biotechnology,70.8,96.9,1795.6,81.2,3.9,137.2,32.7,7.6,281.4,34.2,15.7,11,84.3,
256,Sorin,Italy,Health care equipment & services,70.1,-6.6,743.4,-0.4,9.4,25.1,4.1,3.4,92.0,56.0,12.4,4,0.3,
257,Belgacom,Belgium,Fixed line telecommunications,70.0,4.5,6361.0,-2.9,1.1,757.0,65.6,11.9,1164.0,-1.4,18.3,16,-3.0,
258,Transmissions And Engineering Services Netherlands,The Netherlands,Industrial engineering,69.5,32.9,3250.0,38.4,2.1,,,,329.2,57.9,10.1,8,18.1,
259,KBC,Belgium,Banks,69.0,19.0,7092.0,-15.3,1.0,,,,786.0,-64.7,11.1,51,-1.9,
260,Groupe SEB,France,Household goods & home construction,68.7,0.9,3963.3,8.5,1.7,111.9,-7.2,2.8,400.5,16.5,10.1,24,8.2,
261,Genmab,Denmark,Pharmaceuticals & biotechnology,68.6,42.8,47.2,-39.7,145.4,1.0,-28.7,2.1,-79.5,183.3,-168.4,0,-21.8,
262,IMMSI,Italy,Automobiles & parts,68.5,8.9,1616.5,0.8,4.2,,,,83.4,-9.4,5.2,8,1.2,
263,Vallourec,France,Industrial engineering,68.1,0.0,5295.9,17.9,1.3,,,,683.6,-2.1,12.9,22,8.9,
264,Spirent Communications,UK,Technology hardware & equipment,68.1,9.9,408.2,9.5,16.7,16.1,14.9,3.9,94.4,8.3,23.1,2,5.5,
265,Swedish Road Administration,Sweden,Industrial transportation,67.5,52.0,841.6,-40.1,8.0,,,,,,,8,156.9,
266,GN Store Nord,Denmark,Technology hardware & equipment,67.4,10.1,748.4,8.1,9.0,13.9,8.4,1.9,168.9,-51.1,22.6,5,7.3,
267,Dialog Semiconductor,UK,Technology hardware & equipment,67.0,56.7,407.5,77.8,16.4,16.4,120.7,4.0,47.6,37.6,11.7,1,72.1,
268,Frieslandcampina International Holding,The Netherlands,Food producers,66.0,8.2,5042.0,-43.8,1.3,,,,261.0,-41.0,5.2,13,-35.6,
269,Andritz,Austria,Industrial engineering,65.6,24.9,4596.0,29.3,1.4,77.0,17.4,1.7,318.0,30.4,6.9,17,21.6,
270,Energias de Portugal,Portugal,Electricity,65.5,79.3,15120.9,6.7,0.4,2311.0,-22.7,15.3,2268.1,3.6,15.0,12,1.0,
271,Technip,France,"Oil equipment, services & distribution",65.3,15.4,6813.0,12.0,1.0,339.2,-6.1,5.0,710.4,18.8,10.4,31,33.2,
272,NeuroSearch,Denmark,Pharmaceuticals & biotechnology,64.9,41.1,,,,0.5,-66.7,,-58.0,31.4,,0,-5.5,
273,Wustenrot & Wurttembergische,Germany,Nonlife insurance,64.1,-4.4,1544.4,-71.7,4.2,,,,192.2,-15.1,12.4,8,-14.7,
274,Bang & Olufsen,Denmark,Leisure goods,63.4,7.7,404.6,8.9,15.7,18.4,65.4,4.5,15.4,-312.3,3.8,2,3.2,
275,Marks & Spencer,UK,General retailers,63.2,25.7,11870.6,4.4,0.5,674.3,58.3,5.7,892.1,-8.3,7.5,81,3.9,
276,Christian Dior,France,Personal goods,63.0,37.0,24628.0,16.6,0.3,,,,5207.0,23.5,21.1,101,33.1,
277,LVMH,France,Personal goods,63.0,37.0,23659.0,16.4,0.3,,,,5154.0,49.2,21.8,98,16.8,
278,Phoenix Contact,Germany,Electronic & electrical equipment,62.9,15.8,1363.3,40.6,4.6,,,,245.5,213.5,18.0,10,,
279,Amer Sports,Finland,Leisure goods,62.8,12.5,1880.8,8.1,3.3,44.1,41.8,2.3,135.3,52.9,7.2,7,8.7,
280,Pinafore,The Netherlands,Automobiles & parts,62.7,-5.6,3548.0,255.7,1.8,,,,191.5,-220.3,5.4,27,2694800.0,
281,Kaspersky Labs,UK,Software & computer services,62.4,7.8,416.3,18.4,15.0,,,,23.1,-60.0,5.5,2,41.7,
282,Swedish Orphan Biovitrum,Sweden,Pharmaceuticals & biotechnology,62.4,19.2,214.4,0.2,29.1,0.9,-82.3,0.4,-36.0,103.6,-16.8,1,1.8,
283,Nexter,France,Aerospace & defence,62.1,30.8,686.1,-23.6,9.0,,,,126.4,-22.8,18.4,2,,
284,Cargotec,Finland,Industrial engineering,61.2,73.9,3138.7,21.9,1.9,76.6,33.9,2.4,205.1,58.5,6.5,11,13.0,
285,Hager,Germany,Support services,60.9,7.2,1263.4,8.4,4.8,,,,126.6,51.1,10.0,10,-0.1,
286,ADVA,Germany,Technology hardware & equipment,60.5,20.5,310.9,6.6,19.4,7.5,-15.3,2.4,13.2,60.4,4.2,1,13.9,
287,Kontron,Germany,Technology hardware & equipment,59.7,2.9,589.6,15.7,10.1,6.7,34.1,1.1,33.7,-506.9,5.7,3,11.5,
288,Stada Arzneimittel,Germany,Pharmaceuticals & biotechnology,59.5,-0.8,1715.4,5.4,3.5,22.0,-28.7,1.3,129.6,-20.2,7.6,8,-2.2,
289,Rembrandt Holdings,Luxembourg,Support services,59.5,19.5,1329.1,9.6,4.5,,,,136.5,72.2,10.3,7,-4.7,
290,Zeltia,Spain,Pharmaceuticals & biotechnology,59.0,3.0,152.5,-0.7,38.7,3.1,31.9,2.0,7.1,-148.4,4.6,1,-4.2,
291,Lottomatica,Italy,Travel & leisure,58.8,7.3,2973.7,28.5,2.0,10.4,-0.3,0.3,520.8,60.6,17.5,8,5.7,
292,Nordex,Germany,Alternative energy,58.6,83.4,920.8,-5.3,6.4,48.9,2.9,5.3,-29.2,-169.2,-3.2,3,11.0,
293,Pearson,UK,Media,58.6,22.4,7004.6,0.7,0.8,80.1,-22.0,1.1,1430.3,50.2,20.4,42,14.3,
294,Dexia,Belgium,Banks,58.0,-22.7,-4383.0,-182.6,-1.3,,,,-6244.0,-775.8,142.5,14,-48.4,
295,BHP Billiton,UK,Mining,58.0,15.4,55820.4,36.8,0.1,14209.0,61.0,25.5,17973.6,16.8,32.2,46,17.2,
296,Koenig & Bauer,Germany,Industrial engineering,57.9,25.9,1167.2,-1.0,5.0,35.7,170.5,3.1,13.0,-1.5,1.1,6,-1.7,
297,BIAL,Portugal,Pharmaceuticals & biotechnology,57.5,-3.8,,,,,,,,,,0,,
298,Williams Grand Prix,UK,Travel & leisure,57.5,9.4,127.6,20.1,45.0,,,,9.1,38.6,7.1,1,-1.2,
299,Trelleborg,Sweden,General industrials,57.5,0.2,3265.9,1.1,1.8,120.5,35.4,3.7,273.0,25.5,8.4,20,1.2,
300,KPN,The Netherlands,Fixed line telecommunications,57.0,5.6,13022.0,-2.3,0.4,1584.0,9.5,12.2,2402.0,-23.9,18.4,31,-2.9,
301,Unit4,The Netherlands,Software & computer services,56.8,27.0,454.6,7.5,12.5,6.2,8.5,1.4,38.5,2.2,8.5,4,10.8,
302,Scottish and Southern Energy,UK,Electricity,56.5,425.6,37907.4,12.0,0.1,1793.8,39.1,4.7,628.0,-77.7,1.7,19,-3.8,
303,ACS,Spain,Construction & materials,56.0,19.7,28471.9,85.1,0.2,2317.4,56.3,8.1,1328.8,23.3,4.7,165,16.6,
304,Recordati,Italy,Pharmaceuticals & biotechnology,56.0,-18.7,762.0,4.7,7.3,9.6,18.6,1.3,163.5,5.9,21.5,3,14.9,
305,Coloplast,Denmark,Health care equipment & services,55.4,8.7,1368.3,6.7,4.1,30.9,-11.5,2.3,347.2,30.4,25.4,7,2.3,
306,LEGO,Denmark,Leisure goods,55.3,-4.0,2519.6,17.2,2.2,,,,762.2,14.2,30.2,9,12.1,
307,Italcementi,Italy,Construction & materials,55.2,-10.7,4720.5,-1.5,1.2,374.1,-25.3,7.9,114.1,-67.7,2.4,20,-4.2,
308,Aston Martin Holdings,UK,Automobiles & parts,55.2,20.9,605.6,6.9,9.1,,,,10.0,-76.3,1.7,1,-0.1,
309,Fincantieri,Italy,Industrial engineering,55.1,24.1,2316.6,-11.3,2.4,,,,-4.4,-96.8,-0.2,10,-1.7,
310,TeliaSonera,Sweden,Fixed line telecommunications,55.0,-35.3,11709.4,-2.1,0.5,1951.8,47.6,16.7,3294.8,-5.2,28.1,27,-2.5,
311,Caixa General de Depositos,Portugal,Banks,54.9,-5.4,3045.3,5.3,1.8,,,,-535.6,-243.0,-17.6,23,8.1,
312,Axis,Sweden,Technology hardware & equipment,54.0,19.8,401.4,22.0,13.4,5.0,34.9,1.3,68.9,40.3,17.2,1,25.2,
313,Dyson James,UK,Household goods & home construction,53.9,5.1,931.4,19.2,5.8,27.2,-24.3,2.9,229.3,104.8,24.6,2,-2.1,
314,Hugo Boss,Germany,Personal goods,53.7,16.9,2058.8,19.0,2.6,108.5,95.2,5.3,394.1,48.9,19.1,11,10.7,
315,Danske Bank,Denmark,Banks,53.5,-83.9,6056.4,-38.4,0.9,,,,565.6,-27.4,9.3,0,,
316,Gildemeister,Germany,Industrial engineering,53.0,18.8,1687.7,22.6,3.1,44.1,98.0,2.6,120.1,180.3,7.1,6,11.7,
317,Tenaris,Luxembourg,"Oil equipment, services & distribution",52.9,10.7,7707.3,29.3,0.7,666.7,5.2,8.7,1464.4,15.3,19.0,27,6.1,
318,Danieli,Italy,Industrial engineering,52.9,25.0,2283.7,13.2,2.3,79.5,-29.0,3.5,225.1,72.2,9.9,9,5.8,
319,Ceske drahy,Czech Republic,Industrial transportation,52.6,538.1,431.5,-58.6,12.2,,,,10.0,-101.9,2.3,0,,
320,Fagor Electrodomesticos,Spain,Household goods & home construction,52.0,28.8,1277.2,-8.5,4.1,,,,18.7,0.3,1.5,7,-19.6,
321,Arques Industries,Germany,Other financials,52.0,65.8,520.6,-48.4,10.0,10.3,-23.8,2.0,25.6,-132.4,4.9,2,-19.6,
322,IMI,UK,Industrial engineering,51.6,3.1,2546.4,11.5,2.0,62.3,13.8,2.4,373.9,-0.5,14.7,14,9.4,
323,Cegedim,France,Software & computer services,51.6,29.0,911.5,-1.6,5.7,29.6,6.7,3.3,79.8,-3018.0,8.8,8,-2.8,
324,Posten Norden,Sweden,Industrial transportation,51.2,130.7,4428.4,-4.2,1.2,,,,176.5,17.5,4.0,42,-5.3,
325,ElringKlinger,Germany,Automobiles & parts,51.1,11.7,1032.8,29.8,4.9,112.7,-11.4,10.9,130.7,14.3,12.7,6,39.1,
326,Telekom Austria,Austria,Fixed line telecommunications,51.0,4.0,4454.6,-4.2,1.1,739.0,23.4,16.6,0.6,-99.9,0.0,17,3.8,
327,Karl Storz,Germany,Health care equipment & services,50.7,23.3,1037.1,19.7,4.9,,,,70.1,41.4,6.8,5,12.2,
328,Transgene,France,Pharmaceuticals & biotechnology,50.4,68.0,5.6,0.0,892.4,3.3,0.8,58.5,-44.8,4.0,-793.8,0,2.4,
329,Metaswitch Networks,UK,Software & computer services,50.2,27.1,112.6,8.4,44.6,,,,6.9,-22.7,6.2,1,20.1,
330,UPM-Kymmene,Finland,Forestry & paper,50.0,11.1,10068.0,12.8,0.5,286.0,27.1,2.8,431.0,-38.7,4.3,24,5.4,
331,Renishaw,UK,Electronic & electrical equipment,49.7,39.9,396.6,82.8,12.5,36.2,957.6,9.1,99.3,209.2,25.0,3,45.4,
332,Biotest,Germany,Pharmaceuticals & biotechnology,49.3,0.9,422.0,-13.2,11.7,26.7,-9.2,6.3,42.1,-37.2,10.0,2,-11.3,
333,Sophos,UK,Software & computer services,49.2,12.4,273.3,19.5,18.0,,,,-8.0,-154.1,-2.9,2,4.8,
334,Lm Wind Power,Denmark,Alternative energy,49.2,42.9,707.5,-3.6,7.0,,,,-32.2,-90.8,-4.5,6,13.6,
335,Norddeutsche Landesbank Girozentrale,Germany,Banks,49.0,-5.8,2496.0,19.4,2.0,,,,730.0,209.3,29.2,7,7.7,
336,Quintiles,UK,Pharmaceuticals & biotechnology,49.0,10.1,620.1,8.7,7.9,,,,47.8,-5.2,7.7,2,8.6,
337,Ogel,Germany,Support services,49.0,1.1,412.5,-6.3,11.9,,,,42.7,-25.8,10.3,2,-10.7,
338,NKT,Denmark,Electronic & electrical equipment,48.6,0.4,2098.9,8.0,2.3,59.9,-43.1,2.9,59.1,-5.1,2.8,9,6.9,
339,Aixtron,Germany,Technology hardware & equipment,48.4,15.4,611.0,-22.0,7.9,27.2,-44.1,4.4,115.0,-57.7,18.8,1,28.0,
340,Bollore,France,Industrial transportation,48.2,-29.9,8490.5,21.1,0.6,281.8,43.6,3.3,348.5,-20.9,4.1,38,10.1,
341,Laird,UK,Electronic & electrical equipment,48.0,-4.7,700.2,3.3,6.9,14.3,-35.5,2.0,-113.3,2533.1,-16.2,10,-21.4,
342,Shield Bidco,UK,Software & computer services,47.7,44.6,252.8,93.2,18.8,,,,-128.4,-45.9,-50.8,2,5.2,
343,BTG,UK,Pharmaceuticals & biotechnology,47.4,23.7,235.4,76.8,20.2,4.4,-67.0,1.9,26.5,-245.1,11.3,0,50.5,
344,Somfy,France,Electronic & electrical equipment,47.4,1.8,952.4,11.7,5.0,,,,116.8,-1.8,12.3,8,43.0,
345,centrotherm photovoltaics,Germany,Alternative energy,47.3,11.6,698.5,11.9,6.8,66.7,212.7,9.5,-18.7,-124.8,-2.7,2,33.1,
346,F-Secure,Finland,Software & computer services,47.0,39.6,146.0,12.2,32.2,16.7,217.8,11.4,23.6,23.8,16.2,1,5.1,
347,Vinci,France,Construction & materials,47.0,17.5,37646.1,10.7,0.1,,,,3727.0,8.5,9.9,183,2.1,
348,Eramet,France,Industrial metals & mining,47.0,6.8,3603.0,0.8,1.3,,,,497.0,-31.0,13.8,14,0.4,
349,Cookson,UK,General industrials,47.0,3.2,3377.3,11.0,1.4,101.7,34.4,3.0,314.9,19.0,9.3,16,4.4,
350,Sartorius,Germany,Electronic & electrical equipment,46.8,6.7,733.1,11.2,6.4,38.9,146.0,5.3,95.0,36.6,13.0,5,10.6,
351,KUKA,Germany,Industrial engineering,45.9,63.6,1435.6,33.1,3.2,17.6,65.3,1.2,66.0,353.0,4.6,7,13.3,
352,Latecoere,France,Aerospace & defence,45.8,47.7,575.6,23.9,8.0,,,,46.3,4.5,8.1,4,-10.8,
353,FLSmidth,Denmark,Industrial engineering,45.6,20.6,2959.0,9.0,1.5,66.9,5.1,2.3,288.8,10.7,9.8,13,17.6,
354,Standard Life,UK,Life insurance,45.4,-13.5,3877.5,-82.2,1.2,,,,-6008.0,-1034.3,-154.9,9,-5.0,
355,Ultra Electronics,UK,Aerospace & defence,45.2,-4.7,874.4,3.1,5.2,14.5,-22.1,1.7,115.3,7.3,13.2,4,5.0,
356,Effem Holdings,UK,Food & drug retailers,44.8,50.1,3210.5,9.9,1.4,,,,411.7,12.1,12.8,5,5.9,
357,Lubrizol,UK,Chemicals,44.6,-62.4,122.9,-97.0,36.3,,,,18.8,-97.7,15.3,0,-94.3,
358,Deutsche Bahn,Germany,Travel & leisure,44.0,25.7,37979.0,26.4,0.1,,,,2177.0,-176.3,5.7,282,8.4,
359,Akka Technologies,France,Support services,44.0,34.4,474.1,18.4,9.3,,,,43.0,33.7,9.1,6,9.1,
360,Neopost,France,Technology hardware & equipment,43.8,-1.4,1002.6,3.8,4.4,48.3,2.5,4.8,237.0,-4.7,23.6,6,1.5,
361,Novomatic,Austria,Travel & leisure,43.8,15.6,,,,,,,,,,0,,
362,Sbm Offshore,The Netherlands,"Oil equipment, services & distribution",43.4,85.8,2439.8,3.3,1.8,618.3,57.0,25.3,-263.7,-194.4,-10.8,5,22.9,
363,Morphosys,Germany,Pharmaceuticals & biotechnology,43.1,-18.7,100.8,15.8,42.7,2.3,-0.2,2.3,10.0,1.7,9.9,0,2.5,
364,Poste Italiane,Italy,Industrial transportation,43.0,27.5,9526.4,-55.9,0.5,,,,-7164.4,-506.0,-75.2,148,-0.8,
365,CompuGROUP Medical,Germany,Software & computer services,42.9,41.7,396.6,27.0,10.8,12.4,65.9,3.1,34.9,5.0,8.8,3,18.4,
366,Logica,UK,Software & computer services,42.5,17.1,4685.6,6.1,0.9,,,,72.5,-71.3,1.5,42,7.2,
367,Guerbet,France,Pharmaceuticals & biotechnology,42.4,26.4,377.8,7.2,11.2,37.4,-3.3,9.9,22.5,766.7,6.0,1,2.4,
368,KSB,Germany,Industrial engineering,42.3,2.9,2091.0,7.8,2.0,60.4,-11.0,2.9,130.5,-9.2,6.2,16,7.2,
369,Boliden,Sweden,Mining,42.2,31.9,4524.6,9.8,0.9,447.9,37.1,9.9,532.7,-15.9,11.8,4,0.2,
370,Chr Hansen,Denmark,Pharmaceuticals & biotechnology,42.1,68.4,635.6,10.4,6.6,22.1,16.9,3.5,159.2,33.6,25.0,2,8.2,
371,Neste Oil,Finland,Oil & gas producers,42.0,2.4,15420.0,29.7,0.3,341.0,-63.1,2.2,261.0,-17.4,1.7,5,-2.1,
372,ICAP,UK,Other financials,41.8,49.3,2026.6,-0.3,2.1,,,,259.3,-16.2,12.8,0,,
373,AZ Electronic Materials,Luxembourg,Chemicals,41.7,28.6,611.9,,6.8,35.8,,5.8,116.5,,19.0,1,,
374,Simcorp,Denmark,Software & computer services,41.6,-3.2,194.8,5.1,21.4,2.4,-6.7,1.2,46.3,31.5,23.8,1,-2.7,
375,Soitec,France,Technology hardware & equipment,41.5,73.3,323.4,15.1,12.8,89.4,289.3,27.6,-47.2,105.0,-14.6,2,35.7,
376,SGL Carbon,Germany,Chemicals,41.3,-0.2,1540.2,11.5,2.7,138.8,6.4,9.0,155.6,39.4,10.1,6,5.4,
377,Nemetschek,Germany,Software & computer services,41.2,14.5,164.0,9.5,25.1,5.1,-8.2,3.1,28.6,8.7,17.4,1,9.0,
378,TDC,Denmark,Fixed line telecommunications,41.0,10.1,3538.2,-25.4,1.2,343.4,-5.9,9.7,768.5,19.8,21.7,10,-6.9,
379,Micro Focus International,UK,Software & computer services,40.7,-27.2,336.1,0.5,12.1,14.1,269.1,4.2,117.6,44.4,35.0,1,-16.8,
380,Tieto,Finland,Software & computer services,40.5,-8.4,1828.1,6.7,2.2,56.1,-34.4,3.1,98.0,44.5,5.4,18,6.0,
381,TI Fluid Systems,UK,Automobiles & parts,40.4,188.5,2147.9,14.4,1.9,,,,157.8,113.9,7.3,17,10.6,
382,Kofax,UK,Software & computer services,40.4,60.2,313.6,20.0,12.9,3.8,1.4,1.2,26.3,125.0,8.4,1,-7.3,
383,Eniro,Sweden,Media,40.3,-3.5,485.1,-18.8,8.3,3.1,-36.4,0.6,15.3,-103.8,3.1,4,-17.1,
384,Csm,The Netherlands,Food producers,39.8,-15.3,3112.6,4.1,1.3,103.1,48.6,3.3,-149.5,-197.3,-4.8,10,4.1,
385,COFIDE,Italy,General industrials,39.3,30.2,4522.7,-5.9,0.9,133.5,-72.6,3.0,266.2,34.7,5.9,15,17.3,
386,Sogefi,Italy,Automobiles & parts,39.3,42.6,1158.4,25.3,3.4,36.3,49.2,3.1,80.3,44.7,6.9,6,,
