country,rnd_1_year_growth_%,capex_1_year_growth_%,capex_eur_million,capex_int_%,company,employees,employees_1_year_growth_%,eu_rank,industrial_sector,profitability_%,profits_1_year_growth_%,profits_losses_eur_million,rnd_eur_million,rnd_intensity_%,sales_1_year_growth_%,sales_eur_million,year
italy,54.55,30.58,26.46,,terna,3.02,2.9,927,electricity (753),53.91,,,3.4,0.33,3.33,1024.0,2005
uk,5.28,,,,genemedix,0.05,-11.48,928,biotechnology (4573),,,,3.39,,,0.0,2005
germany,0.0,0.0,0.0,,nexus,0.2,1.02,928,software (9537),0.0,,,3.39,16.14,31.25,21.0,2005
uk,46.32,,,,ceres power,0.03,38.1,930,electrical components & equipment (2733),,,,3.38,,,0.0,2005
italy,40.0,5.74,8.87,,snia,0.6,-4.79,931,health care equipment & services (453),-88.71,,,3.36,2.71,1.64,124.0,2005
sweden,26.79,0.0,0.0,,trio,0.09,9.88,931,telecommunications equipment (9578),0.0,,,3.36,24.0,7.69,14.0,2005
uk,-53.98,32.42,34.48,,northumbrian water,3.42,-9.73,933,"gas, water & multiutilities (757)",38.03,,,3.35,0.37,2.97,902.0,2005
uk,7.37,0.0,4.35,,searchspace,0.18,12.5,933,software (9537),-21.74,,,3.35,14.57,9.52,23.0,2005
france,-4.87,4.71,4.08,,prosodie,0.84,3.99,935,computer services (9533),7.48,,,3.32,2.26,-13.53,147.0,2005
france,-7.54,2.81,5.41,,pinguely-haulotte,1.19,19.08,936,commercial vehicles & trucks (2753),15.21,,,3.31,0.85,36.14,388.0,2005
france,12.59,11.11,0.0,,memscap,0.11,-4.31,936,semiconductors (9576),-40.0,,,3.31,33.1,11.11,10.0,2005
finland,-10.81,2.11,7.08,,ponsse,0.73,20.1,938,commercial vehicles & trucks (2753),12.83,,,3.3,1.46,18.95,226.0,2005
finland,-8.36,11.19,7.86,,tamfelt,1.33,0.6,939,personal goods (376),15.0,,,3.29,2.35,4.48,140.0,2005
uk,-11.8,0.0,0.0,,workplace systems international,0.11,-16.42,939,software (9537),0.0,,,3.29,29.91,-31.25,11.0,2005
france,-11.62,5.29,9.5,,gevelot,1.59,-4.55,941,automobiles & parts (335),2.5,,,3.27,1.64,5.82,200.0,2005
france,-12.8,2.88,2.82,,genesys,0.95,-3.77,941,fixed line telecommunications (653),8.45,,,3.27,2.3,2.16,142.0,2005
austria,12.46,0.0,0.0,,update software,0.15,40.57,943,software (9537),10.53,,,3.25,17.11,26.67,19.0,2005
uk,8.36,8.7,5.56,,biofocus,0.13,-15.92,944,pharmaceuticals (4577),-16.67,,,3.24,18.0,-21.74,18.0,2005
sweden,-15.67,3.03,2.7,,opcon,0.38,36.96,945,automobiles & parts (335),-2.7,,,3.23,8.73,12.12,37.0,2005
uk,158.4,0.0,0.0,,alliance pharma,0.03,57.14,945,pharmaceuticals (4577),14.29,,,3.23,15.38,23.53,21.0,2005
uk,-2.72,0.0,5.88,,flomerics,0.14,16.24,947,software (9537),5.88,,,3.22,18.94,13.33,17.0,2005
uk,75.82,,,,antonov,0.02,23.53,948,automobiles & parts (335),,,,3.2,,,0.0,2005
finland,-8.57,7.38,4.81,,nordkalk,1.32,-0.08,948,chemicals (135),10.0,,,3.2,1.19,-0.37,270.0,2005
uk,4.58,3.16,3.09,,dairy crest,7.46,9.6,948,food producers (357),3.5,,,3.2,0.16,7.47,1972.0,2005
spain,,4.61,4.7,,pescanova,0.0,,948,food producers (357),2.6,,,3.2,0.32,7.07,999.0,2005
germany,-40.74,3.42,5.56,,surteco,2.13,6.71,948,household goods (372),11.36,,,3.2,0.81,4.21,396.0,2005
uk,-18.58,,,,kensington,0.57,12.62,948,other financials (877),34.8,,,3.2,1.41,23.37,227.0,2005
uk,-0.93,3.3,2.76,,jeyes,1.66,-2.24,954,household goods (372),1.97,,,3.19,1.26,-6.96,254.0,2005
italy,,4.23,4.08,,benetton,7.7,21.93,955,personal goods (376),8.67,,,3.17,0.18,3.58,1765.0,2005
uk,-9.43,0.0,0.0,,alterian,0.09,21.13,955,software (9537),6.67,,,3.17,21.13,36.36,15.0,2005
uk,62.89,1.1,1.72,,eckoh technologies,0.24,8.14,957,support services (279),-12.07,,,3.16,2.72,27.47,116.0,2005
germany,10.99,4.0,5.71,,lpkf laser & electronics,0.24,13.68,958,electronic equipment (2737),14.29,,,3.13,8.94,40.0,35.0,2005
germany,-10.6,0.0,0.0,,ibs,0.17,-7.82,959,software (9537),-50.0,,,3.12,17.33,0.0,18.0,2005
uk,22.05,0.0,12.5,,osmetech,0.07,15.63,960,biotechnology (4573),-50.0,,,3.1,38.75,-11.11,8.0,2005
finland,,,1.62,,lannen tehtaat,1.03,,960,food producers (357),3.7,,,3.1,0.72,,433.0,2005
finland,3.33,0.65,1.98,,alma media,3.14,-11.0,960,media (555),13.03,,,3.1,0.88,-24.09,353.0,2005
sweden,-12.71,4.35,3.23,,protect data,0.12,10.48,963,computer services (9533),19.35,,,3.09,9.97,34.78,31.0,2005
germany,14.5,1.33,1.35,,cenit ag systemhaus,0.5,8.68,964,computer services (9533),12.16,,,3.08,4.16,-1.33,74.0,2005
france,-7.27,2.21,2.13,,fininfo,0.99,8.33,965,media (555),14.89,,,3.06,2.17,3.68,141.0,2005
uk,34.36,7.32,53.56,,jazztel,1.42,30.6,966,fixed line telecommunications (653),-66.11,,,3.05,1.28,16.59,239.0,2005
france,1.33,1.49,2.01,,evialis,3.13,0.29,967,food producers (357),1.39,,,3.04,0.47,-3.86,647.0,2005
uk,-8.43,2.9,2.63,,fenner,2.95,10.78,967,industrial machinery (2757),5.04,,,3.04,0.67,20.32,456.0,2005
uk,41.78,0.0,0.0,,newchurch,0.09,36.92,969,computer services (9533),-62.5,,,3.02,37.75,166.67,8.0,2005
france,-40.0,3.41,3.73,,finatis,147.53,18.75,970,food & drug retailers (533),3.3,,,3.0,0.01,7.93,23595.0,2005
germany,23.05,2.96,5.23,,centrotec sustainable,1.05,13.17,971,chemicals (135),15.69,,,2.99,1.95,13.33,153.0,2005
austria,10.74,10.84,15.24,,austria technologie & systemtechnik,4.34,36.41,971,electrical components & equipment (2733),6.15,,,2.99,0.8,12.65,374.0,2005
uk,37.16,13.51,10.53,,corin,0.25,9.69,971,health care equipment & services (453),13.16,,,2.99,7.87,2.7,38.0,2005
greece,287.01,,2.27,,unisystems information systems,0.3,,974,computer services (9533),9.09,,,2.98,6.77,7.32,44.0,2005
uk,-59.89,0.0,0.0,,nxt,0.08,-48.3,974,leisure goods (374),-160.0,,,2.98,59.6,-44.44,5.0,2005
the netherlands,-25.5,2.22,0.0,,blue fox enterprises,0.35,-4.62,974,software (9537),-3.85,,,2.98,5.73,15.56,52.0,2005
belgium,-6.92,3.39,7.44,,epiq,2.11,10.46,977,electronic equipment (2737),2.48,,,2.96,2.45,2.54,121.0,2005
uk,22.08,0.0,5.0,,bond international software,0.18,39.69,978,software (9537),20.0,,,2.93,14.65,42.86,20.0,2005
uk,-51.26,0.3,0.3,,george wimpey,6.05,1.39,979,household goods (372),14.57,,,2.91,0.07,0.92,4371.0,2005
austria,-10.74,,,,uniqa,9.94,2.49,979,nonlife insurance (853),3.73,,,2.91,0.06,41.47,5093.0,2005
finland,-2.68,1.12,5.0,,evox rifa group,1.32,-2.58,981,electrical components & equipment (2733),-10.0,,,2.9,3.63,-10.11,80.0,2005
italy,76.83,2.6,3.61,,targetti sankey,1.24,14.99,981,electrical components & equipment (2733),9.04,,,2.9,1.75,7.79,166.0,2005
the netherlands,81.25,66.76,95.16,,athlon,1.61,0.82,981,general retailers (537),14.27,,,2.9,0.37,-23.04,785.0,2005
the netherlands,-41.02,0.0,0.0,,hitt,0.16,3.25,984,electronic equipment (2737),4.17,,,2.89,12.04,41.18,24.0,2005
uk,17.07,0.0,0.0,,tadpole technology,0.1,17.65,985,internet (9535),-100.0,,,2.88,22.15,85.71,13.0,2005
uk,-63.52,1.41,1.64,,robotic technology systems,0.26,-15.58,986,support services (279),4.92,,,2.86,4.69,-14.08,61.0,2005
uk,39.71,0.0,0.0,,ant,0.04,40.0,987,software (9537),-75.0,,,2.85,71.25,33.33,4.0,2005
uk,12.7,2.56,2.44,,planit,0.38,0.27,988,software (9537),9.76,,,2.84,6.93,5.13,41.0,2005
uk,24.67,2.84,1.53,,tennants,0.86,-3.79,989,chemicals (135),2.14,,,2.83,0.87,15.96,327.0,2005
uk,19.92,,6.12,,clinphone,0.5,14.52,989,computer services (9533),4.08,,,2.83,5.78,600.0,49.0,2005
germany,-3.45,4.65,17.74,,schweizer electronic,0.79,-2.7,991,electronic equipment (2737),83.87,,,2.8,4.52,-27.91,62.0,2005
uk,,,,,zincox resources,0.02,50.0,992,mining (177),,,,2.78,,,0.0,2005
uk,575.61,25.0,0.0,,bioprogress,0.06,-22.22,993,biotechnology (4573),-233.33,,,2.77,46.17,50.0,6.0,2005
uk,138.79,36.2,21.05,,united utilities,17.03,6.87,993,"gas, water & multiutilities (757)",27.57,,,2.77,0.07,10.29,3729.0,2005
uk,-4.81,3.57,3.83,,renold,2.68,0.9,993,industrial machinery (2757),-2.09,,,2.77,0.97,2.5,287.0,2005
germany,-33.25,0.0,0.0,,intershop communications,0.22,-10.25,993,software (9537),-16.67,,,2.77,15.39,0.0,18.0,2005
finland,105.26,0.0,0.0,,benefon,0.08,-16.48,997,telecommunications equipment (9578),-37.5,,,2.73,34.13,14.29,8.0,2005
uk,-18.81,3.7,5.88,,intelek,0.4,-17.36,998,telecommunications equipment (9578),7.84,,,2.72,5.33,-5.56,51.0,2005
belgium,12.45,1.49,3.17,,associated weavers international,1.13,-4.81,999,household goods (372),0.4,,,2.71,1.08,-6.32,252.0,2005
sweden,10.33,0.0,0.0,,raysearch laboratories,0.03,17.39,1000,health care equipment & services (453),57.14,,,2.67,38.14,75.0,7.0,2005
germany,-7.35,4.42,20.06,,daimlerchrysler,365.75,-5.36,1,automobiles & parts (335),3.33,,,5234.0,3.43,2.03,152809.0,2006
uk,10.24,4.62,6.39,,glaxosmithkline,101.8,2.31,2,pharmaceuticals (4577),33.86,,,5130.88,14.88,7.23,34471.0,2006
germany,-2.54,7.02,4.7,,siemens  ,472.5,7.53,3,electrical components & equipment (2733),4.12,,,5024.0,5.75,15.75,87325.0,2006
france,8.9,,4.44,,sanofi-aventis,100.29,3.2,4,pharmaceuticals (4577),16.67,,,4404.0,15.52,3.89,28373.0,2006
germany,4.05,12.99,8.0,,volkswagen,308.44,-4.75,5,automobiles & parts (335),2.12,,,4240.0,4.02,10.7,105466.0,2006
finland,2.29,1.78,1.96,,nokia,65.32,14.81,6,telecommunications equipment (9578),13.41,,,3712.0,9.03,20.27,41121.0,2006
germany,15.93,6.96,6.11,,robert bosch,257.75,2.75,7,automobiles & parts (335),5.31,,,3398.0,7.78,3.97,43684.0,2006
germany,2.99,20.6,22.81,,bmw,97.21,-6.12,8,automobiles & parts (335),8.59,,,3208.0,6.55,5.02,48999.0,2006
sweden,4.79,2.22,2.15,,ericsson,64.49,18.99,9,telecommunications equipment (9578),18.57,,,2976.09,15.11,17.1,19702.0,2006
uk,15.48,3.47,3.01,,astrazeneca,66.6,2.62,10,pharmaceuticals (4577),31.03,,,2959.0,14.74,10.54,20077.0,2006
the netherlands,21.21,6.88,5.78,,eads,116.81,3.18,11,aerospace & defence (271),0.27,,,2869.0,7.28,15.28,39434.0,2006
germany,30.28,4.72,5.02,,bayer,96.59,3.68,12,chemicals (135),9.05,,,2457.0,7.73,16.13,31801.0,2006
france,6.01,7.98,8.82,,renault,134.24,6.04,13,automobiles & parts (335),7.61,,,2400.0,5.92,0.32,40543.0,2006
france,1.12,5.2,4.67,,peugeot (psa),211.75,1.56,14,automobiles & parts (335),0.38,,,2175.0,3.84,0.58,56594.0,2006
france,10.94,1.99,1.96,,alcatel-lucent,89.37,54.89,15,telecommunications equipment (9578),-0.86,,,1988.0,13.82,9.49,14381.0,2006
the netherlands,-16.65,3.24,2.29,,philips electronics,161.03,16.86,16,leisure goods (374),3.58,,,1948.0,6.31,1.5,30851.0,2006
italy,7.04,3.22,4.87,,finmeccanica,56.65,7.21,17,aerospace & defence (271),6.78,,,1869.0,16.08,4.1,11624.0,2006
uk,-13.87,2.89,4.14,,bae systems,79.0,6.76,18,aerospace & defence (271),7.86,,,1852.28,10.12,11.93,18305.0,2006
uk,53.92,13.88,12.17,,bt,105.2,2.14,19,fixed line telecommunications (653),12.59,,,1660.82,5.53,3.63,30015.0,2006
germany,15.74,5.58,5.64,,boehringer ingelheim  ,38.43,2.73,20,pharmaceuticals (4577),20.44,,,1574.0,14.89,10.9,10574.0,2006
germany,19.79,5.12,7.73,,basf,89.45,10.44,21,chemicals (135),12.79,,,1301.3,2.47,23.08,52610.0,2006
germany,19.24,2.83,3.32,,sap  ,38.05,10.14,22,software (9537),27.18,,,1298.12,13.81,10.46,9402.0,2006
sweden,6.72,4.72,4.24,,volvo,82.3,1.37,23,commercial vehicles & trucks (2753),7.66,,,1249.06,4.35,7.6,28684.0,2006
the netherlands,3.8,16.24,15.59,,stmicroelectronics  ,51.77,3.54,24,semiconductors (9576),5.7,,,1223.18,16.4,10.83,7460.0,2006
italy,-10.17,5.86,6.49,,fiat,173.73,2.15,25,automobiles & parts (335),2.83,,,1184.0,2.32,11.17,50935.0,2006
germany,-4.91,20.68,15.26,,infineon technologies  ,41.07,13.57,26,semiconductors (9576),-2.69,,,1182.0,14.91,17.31,7929.0,2006
uk,-4.93,2.42,2.63,,unilever,189.0,-10.85,27,food producers (357),13.55,,,906.0,2.23,2.53,40675.0,2006
the netherlands,5.85,3.95,3.85,,akzo nobel,61.9,0.81,28,chemicals (135),9.67,,,886.0,6.45,5.67,13737.0,2006
france,19.55,9.54,10.06,,france telecom,189.03,-3.78,29,fixed line telecommunications (653),13.79,,,856.0,1.63,7.11,52524.0,2006
denmark,24.21,11.55,7.49,,novo nordisk,22.59,6.83,30,pharmaceuticals (4577),22.86,,,847.26,16.3,14.75,5197.0,2006
france,1.28,4.5,4.93,,valeo,69.66,-1.05,31,automobiles & parts (335),2.54,,,789.0,7.91,0.37,9970.0,2006
germany,2.59,4.57,4.04,,merck,29.77,2.93,32,pharmaceuticals (4577),14.99,,,731.5,11.69,6.63,6259.0,2006
germany,14.8,6.1,5.18,,continental,81.6,0.64,33,automobiles & parts (335),10.58,,,677.8,4.55,7.59,14887.0,2006
uk,50.51,5.1,7.07,,royal dutch shell,108.0,-0.92,34,oil & gas producers (53),13.91,,,671.12,0.28,3.95,241789.0,2006
belgium,20.35,3.55,2.58,,ucb,8.48,-0.56,35,pharmaceuticals (4577),17.8,,,615.0,24.38,-0.39,2523.0,2006
uk,16.76,3.76,4.24,,rolls-royce,37.3,4.78,36,aerospace & defence (271),9.67,,,610.01,5.74,8.38,10621.0,2006
germany,9.12,4.85,4.02,,zf,55.05,2.06,37,automobiles & parts (335),5.64,,,610.0,5.23,7.62,11659.0,2006
france,9.76,2.64,2.57,,schneider,100.08,12.87,38,electrical components & equipment (2733),14.31,,,595.0,4.33,17.56,13730.0,2006
france,4.6,8.13,8.45,,michelin,126.67,-0.51,39,automobiles & parts (335),6.46,,,591.0,3.61,5.09,16384.0,2006
spain,8.09,11.59,12.75,,telefonica,227.14,16.43,40,fixed line telecommunications (653),17.57,,,588.0,1.11,40.36,53171.0,2006
belgium,20.34,6.13,6.44,,solvay,29.26,1.84,41,chemicals (135),9.89,,,574.0,6.11,3.84,9401.0,2006
france,-15.83,6.69,6.86,,total,95.07,-15.78,42,oil & gas producers (53),20.07,,,569.0,0.42,9.43,134186.0,2006
uk,16.11,17.03,13.18,,royal bank of scotland,142.6,-1.59,43,banks (835),32.8,,,566.96,1.36,8.11,41561.0,2006
france,7.32,4.13,4.35,,l'oreal,60.85,16.12,44,personal goods (376),15.64,,,532.5,3.37,8.65,15790.0,2006
france,2.66,2.21,2.22,,thales,52.16,-2.26,45,aerospace & defence (271),5.47,,,517.0,5.04,0.01,10264.0,2006
france,31.66,3.78,3.35,,lagardere,50.52,4.71,46,media (555),3.89,,,499.0,3.56,7.58,13999.0,2006
germany,6.39,4.65,4.03,,altana,13.4,1.31,47,pharmaceuticals (4577),21.15,,,494.68,12.79,18.18,3867.0,2006
germany,12.47,13.88,11.89,,deutsche telekom,248.48,1.83,48,fixed line telecommunications (653),8.54,,,487.0,0.79,2.92,61347.0,2006
france,14.46,4.1,5.39,,areva,61.11,4.0,49,electricity (753),5.29,,,467.0,4.3,7.29,10863.0,2006
germany,26.91,12.94,12.04,,porsche,11.29,3.32,50,automobiles & parts (335),29.14,,,448.5,6.17,10.63,7273.0,2006
uk,40.24,4.68,3.43,,hsbc,296.2,11.65,51,banks (835),30.4,,,446.66,0.84,13.56,53136.0,2006
france,-5.32,3.46,3.63,,safran,57.67,11.08,52,aerospace & defence (271),-2.01,,,445.0,4.1,24.72,10841.0,2006
france,26.07,1.53,1.83,,alstom,66.57,2.04,53,electrical components & equipment (2733),5.35,,,440.0,3.01,5.58,14625.0,2006
france,-3.23,11.44,10.49,,electricite de france,155.97,-0.51,54,electricity (753),14.43,,,389.0,0.66,15.44,58932.0,2006
the netherlands,16.71,3.08,2.75,,asml,5.32,5.24,55,semiconductors (9576),25.55,,,383.98,10.68,42.23,3597.0,2006
france,12.69,5.06,5.31,,saint-gobain,206.84,11.04,56,construction & materials (235),7.58,,,373.0,0.9,18.47,41596.0,2006
france,8.53,5.97,6.15,,vivendi,37.01,-0.41,57,media (555),22.37,,,369.0,1.84,2.87,20044.0,2006
germany,-13.4,2.0,8.61,,man,49.99,-15.1,58,industrial machinery (2757),7.61,,,362.0,2.36,4.38,15313.0,2006
sweden,15.64,12.02,12.34,,scania,31.2,4.44,59,commercial vehicles & trucks (2753),12.23,,,355.62,4.54,10.05,7839.0,2006
germany,4.94,3.28,3.38,,henkel,51.72,-0.02,60,household goods (372),10.1,,,340.0,2.67,6.4,12740.0,2006
france,20.36,3.39,2.61,,thomson,29.63,-8.77,61,media (555),3.53,,,331.0,4.93,-5.23,6709.0,2006
uk,7.76,9.26,10.78,,vodafone,66.58,7.95,62,mobile telecommunications (657),-4.88,,,329.49,0.7,-13.63,46936.0,2006
the netherlands,12.76,4.61,4.99,,dsm,21.44,-6.14,63,chemicals (135),8.31,,,327.0,3.9,2.26,8380.0,2006
germany,0.78,5.97,5.57,,rag,43.18,-56.71,64,general industrials (272),3.48,,,309.1,1.68,-17.7,18388.0,2006
sweden,3.06,5.08,5.31,,autoliv  ,41.8,22.58,65,automobiles & parts (335),8.48,,,301.51,6.42,-0.26,4693.0,2006
uk,-21.31,5.13,5.89,,bp,97.1,-5.45,66,oil & gas producers (53),11.81,,,299.54,0.15,6.59,201644.0,2006
germany,8.14,7.2,8.19,,hella  ,24.32,2.35,67,automobiles & parts (335),0.82,,,285.6,8.41,10.55,3395.0,2006
france,-0.75,2.33,3.33,,dassault aviation,12.06,-0.43,68,aerospace & defence (271),11.3,,,282.43,8.55,-3.68,3302.0,2006
france,8.53,2.57,1.64,,dassault systemes  ,6.84,20.15,69,software (9537),20.81,,,281.04,24.27,23.85,1158.0,2006
sweden,-13.36,11.79,10.93,,teliasonera,26.97,-1.58,70,fixed line telecommunications (653),27.9,,,276.05,2.74,3.87,10091.0,2006
uk,37.39,3.32,3.16,,smiths,31.32,9.87,71,general industrials (272),4.05,,,266.12,5.09,17.22,5229.0,2006
germany,11.79,3.76,3.94,,heidelberger druckmaschinen,18.86,0.87,72,industrial machinery (2757),8.57,,,264.29,6.95,6.05,3803.0,2006
denmark,12.91,6.41,7.84,,lundbeck,5.11,1.77,73,pharmaceuticals (4577),18.43,,,262.62,21.23,1.64,1237.0,2006
uk,45.45,5.68,5.07,,reuters,16.3,2.76,74,media (555),9.59,,,261.22,6.86,6.52,3808.0,2006
germany,11.89,7.53,8.96,,linde,58.84,39.81,75,chemicals (135),6.9,,,254.0,2.04,30.92,12439.0,2006
germany,8.15,4.32,5.43,,carl zeiss,11.44,-7.48,76,health care equipment & services (453),11.67,,,248.74,10.22,9.5,2433.0,2006
germany,19.8,3.37,3.15,,thyssenkrupp,186.57,-0.34,77,industrial metals (175),6.41,,,242.0,0.51,8.36,47125.0,2006
germany,10.56,6.99,6.12,,mahle  ,37.57,1.98,78,automobiles & parts (335),7.39,,,241.62,5.6,4.66,4314.0,2006
germany,25.0,4.31,4.19,,bsh bosch und siemens hausgerate,37.1,4.85,79,household goods (372),6.9,,,235.0,2.83,13.19,8308.0,2006
uk,5.24,4.53,4.33,,shire,2.87,37.22,80,pharmaceuticals (4577),2.2,,,229.17,16.83,12.28,1362.0,2006
germany,6.51,5.83,4.71,,behr,18.59,2.71,81,automobiles & parts (335),3.92,,,229.0,7.18,4.46,3188.0,2006
uk,4.08,2.63,2.57,,ici,31.07,-4.49,82,chemicals (135),7.31,,,227.08,2.61,0.96,8709.0,2006
italy,9.9,8.89,7.13,,eni,72.92,2.26,83,oil & gas producers (53),23.24,,,222.0,0.26,16.79,86105.0,2006
the netherlands,14.75,7.81,6.75,,oce,23.78,9.82,84,electronic office equipment (9574),3.18,,,221.14,7.11,16.17,3110.0,2006
france,1.9,19.03,19.16,,societe generale,115.13,14.92,85,banks (835),36.04,,,214.0,0.95,16.94,22417.0,2006
uk,-22.35,2.62,2.96,,telent,9.0,-18.18,86,computer services (9533),-2.07,,,206.3,14.21,-26.81,1452.0,2006
sweden,-16.24,3.68,2.61,,electrolux,55.47,-20.21,87,household goods (372),4.65,,,203.02,1.52,-6.67,13391.0,2006
belgium,0.0,2.36,2.26,,agfa-gevaert,14.16,-3.8,88,electronic equipment (2737),-0.09,,,202.0,5.94,2.81,3401.0,2006
sweden,18.13,5.21,6.23,,sandvik,40.67,4.24,89,industrial machinery (2757),16.46,,,201.47,2.51,14.07,8011.0,2006
germany,8.1,4.93,3.96,,jm voith,33.77,21.74,90,general industrials (272),7.03,,,193.5,5.18,5.29,3739.0,2006
uk,12.17,6.67,6.53,,tesco,413.06,12.18,91,food & drug retailers (533),6.23,,,191.46,0.3,7.83,63356.0,2006
spain,18.92,3.84,3.69,,!! ## amadeus global travel (now amadeus it group),6.72,16.58,92,travel & leisure (575),17.25,,,182.19,7.56,17.21,2411.0,2006
the netherlands,109.41,3.74,8.43,,rabobank,48.08,0.42,93,banks (835),28.57,,,178.0,1.88,1.39,9493.0,2006
france,8.13,3.17,3.18,,legrand,30.71,1.55,94,electrical components & equipment (2733),14.18,,,175.6,4.7,15.06,3737.0,2006
germany,5.8,7.07,5.56,,freudenberg,33.54,0.37,95,general industrials (272),6.97,,,175.1,3.47,4.47,5053.0,2006
italy,-1.72,3.69,5.27,,pirelli,28.62,20.62,96,automobiles & parts (335),-28.96,,,171.0,3.53,-23.61,4841.0,2006
ireland,-3.94,9.88,6.63,,elan,1.73,-5.67,97,pharmaceuticals (4577),-58.62,,,170.32,45.18,16.36,377.0,2006
germany,8.33,5.44,4.52,,rheinmetall,18.89,2.55,98,automobiles & parts (335),5.57,,,169.0,4.66,5.07,3629.0,2006
france,,,5.49,,arkema,17.04,,99,chemicals (135),1.86,,,168.0,2.86,,5866.0,2006
france,16.19,4.17,4.34,,ipsen,3.81,3.03,100,pharmaceuticals (4577),19.68,,,167.8,17.76,9.38,945.0,2006
germany,12.08,4.41,5.47,,fresenius  ,99.69,39.21,101,health care equipment & services (453),13.4,,,167.0,1.55,36.61,10777.0,2006
uk,5.88,2.0,1.81,,reed elsevier,36.8,1.94,102,media (555),16.33,,,160.29,2.0,4.5,8012.0,2006
sweden,13.87,14.58,3.67,,atlas copco,24.38,-7.16,103,industrial machinery (2757),21.13,,,159.14,2.34,16.13,6788.0,2006
germany,-2.5,3.16,3.01,,diehl stiftung  ,10.33,0.33,104,general industrials (272),3.39,,,156.0,7.33,29.07,2127.0,2006
france,9.36,8.92,10.45,,l'air liquide,36.9,2.79,105,chemicals (135),15.08,,,154.3,1.41,4.93,10949.0,2006
germany,3.68,10.45,12.74,,wacker-chemie,14.67,1.62,106,chemicals (135),12.89,,,152.3,4.56,21.08,3337.0,2006
italy,6.38,3.44,3.69,,banca intesa (now intesa-sanpaolo),56.55,-3.66,107,banks (835),39.9,,,150.0,1.54,5.0,9714.0,2006
france,20.0,3.79,3.47,,business objects  ,5.4,22.27,108,software (9537),9.46,,,147.91,15.55,16.4,951.0,2006
the netherlands,9.59,0.63,0.93,,fujitsu siemens computers  ,10.76,57.8,109,computer services (9533),1.04,,,145.1,2.09,4.6,6952.0,2006
uk,4.3,4.49,4.64,,bat,55.15,-0.4,110,tobacco (378),30.85,,,143.97,0.99,4.69,14489.0,2006
uk,29.28,3.49,3.24,,amdocs  ,16.23,24.88,111,software (9537),13.4,,,141.63,7.53,21.67,1881.0,2006
uk,39.7,3.27,2.95,,barclays,118.6,27.8,112,banks (835),28.78,,,141.0,0.43,23.32,32905.0,2006
uk,16.28,1.91,2.52,,sage,10.51,21.0,113,software (9537),24.98,,,140.85,10.14,20.47,1389.0,2006
germany,6.18,4.41,3.27,,knorr-bremse  ,12.49,9.32,114,industrial machinery (2757),9.84,,,140.8,4.51,13.78,3121.0,2006
uk,-22.95,0.97,0.6,,royal & sun alliance,23.72,-6.22,115,nonlife insurance (853),2.7,,,139.52,1.53,-2.57,9109.0,2006
ireland,11.45,3.25,2.11,,kerry,23.29,0.15,116,food producers (357),6.82,,,139.02,2.99,4.88,4646.0,2006
germany,-21.71,3.06,2.08,,deutsche post,507.64,30.55,117,industrial transportation (277),5.59,,,137.0,0.23,35.77,60545.0,2006
germany,6.3,9.55,10.0,,rwe,72.79,-15.77,118,"gas, water & multiutilities (757)",13.04,,,135.0,0.3,11.43,45149.0,2006
italy,-26.11,10.82,9.32,,telecom italia,77.61,0.3,119,fixed line telecommunications (653),23.23,,,133.0,0.42,0.29,31396.0,2006
uk,-19.09,1.69,1.9,,invensys,27.79,-9.96,120,electronic equipment (2737),7.58,,,132.09,3.44,-4.69,3838.0,2006
italy,26.92,1.87,4.46,,sanpaolo imi (now part of intesa-sanpaolo),46.2,6.39,121,banks (835),24.4,,,132.0,1.05,-0.36,12599.0,2006
uk,-14.89,0.68,0.89,,misys,6.08,-5.81,122,software (9537),3.57,,,131.5,9.79,-8.08,1343.0,2006
france,26.76,1.67,2.56,,ubisoft entertainment,3.24,19.78,123,software (9537),-2.38,,,130.66,23.89,1.67,547.0,2006
france,-0.84,7.95,7.71,,biomerieux,5.66,3.0,124,health care equipment & services (453),13.6,,,129.6,12.5,4.33,1037.0,2006
france,-3.73,4.78,4.7,,rhodia,17.08,-12.17,125,chemicals (135),5.61,,,129.0,2.18,9.56,5915.0,2006
france,12.46,6.56,6.69,,essilor international,27.26,9.44,126,health care equipment & services (453),18.1,,,127.63,4.74,10.97,2690.0,2006
france,-8.03,4.9,5.74,,bouygues,123.52,3.71,127,construction & materials (235),6.91,,,126.0,0.47,9.15,26675.0,2006
france,0.8,4.56,4.82,,danone,88.12,-0.07,127,food producers (357),13.0,,,126.0,0.9,6.27,14073.0,2006
uk,5.26,2.32,2.81,,arm,1.47,19.29,129,semiconductors (9576),16.88,,,125.41,32.07,13.33,391.0,2006
uk,30.15,1.74,1.68,,reckitt benckiser,21.9,7.88,130,household goods (372),18.49,,,121.7,1.67,17.78,7305.0,2006
germany,-53.34,3.03,5.4,,schwarz pharma,4.36,6.32,131,pharmaceuticals (4577),5.9,,,120.81,12.08,0.91,1000.0,2006
germany,11.96,3.44,5.23,,trumpf  ,6.37,6.77,132,general industrials (272),12.77,,,119.8,7.28,17.84,1645.0,2006
germany,9.17,2.3,1.89,,tchibo,29.98,1.2,133,food & drug retailers (533),8.12,,,119.0,1.32,2.84,9038.0,2006
denmark,11.22,5.69,7.24,,novozymes,4.27,6.19,134,biotechnology (4573),19.63,,,118.32,12.97,8.19,912.0,2006
